order_id,customer_id,order_date,order_status,promotion_id,order_channel,order_value,attributed_to_promo,customer_segment_at_time,missing_promotion_flag,promo_attributed_without_promotion_id_flag,invalid_order_value_flag,invalid_promotion_reference_flag
1,620,2025-05-22,PAID,1237.0,Push,310.97,True,Medium_Value,False,False,False,False
2,1407,2024-10-11,PAID,,SMS,95.48,False,Low_Value,True,False,False,False
3,1773,2024-09-25,PAID,,Email,178.64,False,Medium_Value,True,False,False,False
4,1284,2025-03-18,PAID,,Social,86.91,False,New_Customer,True,False,False,False
5,1103,2025-04-10,PAID,,Email,227.26,False,Medium_Value,True,False,False,False
6,720,2024-08-22,PAID,,Push,96.19,False,New_Customer,True,False,False,False
7,395,2025-01-12,PAID,,Social,323.39,False,High_Value,True,False,False,False
8,1137,2025-06-14,PAID,,Email,40.16,False,Low_Value,True,False,False,False
9,666,2025-02-02,PAID,,SMS,237.36,False,High_Value,True,False,False,False
10,256,2024-09-14,PAID,,Push,293.14,False,High_Value,True,False,False,False
11,1879,2024-11-05,PAID,,SMS,469.99,False,High_Value,True,False,False,False
12,1257,2024-08-22,PAID,,SMS,56.82,False,New_Customer,True,False,False,False
13,21,2025-02-20,PAID,,Social,150.81,False,High_Value,True,False,False,False
14,1778,2024-11-10,CANCEL,,Email,40.34,False,Low_Value,True,False,False,False
15,1728,2025-03-12,PAID,,Email,367.6,False,High_Value,True,False,False,False
16,1933,2025-02-20,PAID,,Social,78.7,False,New_Customer,True,False,False,False
17,1229,2024-09-02,CANCEL,12.0,SMS,61.77,True,Low_Value,False,False,False,False
18,593,2025-04-25,CANCEL,294.0,SMS,91.72,True,New_Customer,False,False,False,False
19,57,2025-04-02,PAID,689.0,Email,134.36,True,Medium_Value,False,False,False,False
20,443,2024-10-31,PAID,,Push,50.11,False,Low_Value,True,False,False,False
21,1617,2025-05-29,PAID,,Email,90.18,False,Medium_Value,True,False,False,False
22,68,2024-09-28,PAID,195.0,Push,289.76,True,High_Value,False,False,False,False
23,611,2024-10-04,PAID,1085.0,Push,70.85,True,New_Customer,False,False,False,False
24,636,2024-07-25,PAID,1053.0,Push,806.72,True,High_Value,False,False,False,False
