product_key,product_id,product_category
762411714070839319,492,Home
512610361105018554,491,Electronics
557975283058193433,447,Home
269066334754545457,91,Electronics
956589881130540076,646,Sports
198320239037364004,710,Books
1098718886596327092,881,Sports
479145051080035326,289,Home
690520812566217119,747,Sports
987642359196783933,565,Books
240550714578432222,475,Beauty
832278046774654014,114,Books
465231253940350326,871,Home
918362924067816106,125,Books
68393893889575024,866,Electronics
779105422600272568,301,Electronics
822665179822988972,605,Beauty
695667004171883551,185,Home
414908224761353333,673,Clothing
1137963656287879344,964,Electronics
841019326852954165,527,Books
695804801850972499,3,Beauty
682119591434801168,562,Electronics
989468669447230064,174,Beauty
1030329251957780646,44,Sports
778941814281403363,465,Beauty
1013061252918756925,867,Home
941060771521902952,43,Clothing
730477444316237973,188,Books
955461622208750155,652,Clothing
469382188015132989,455,Electronics
904248215132061716,396,Home
10083189445721899,36,Beauty
103735105991995785,133,Sports
303906772451889541,569,Sports
675748649942338092,748,Beauty
398104192980947426,192,Sports
334423420006198759,170,Clothing
279719230772713360,796,Electronics
881865285198797610,980,Books
440510659030430573,898,Books
1050283912116246443,317,Electronics
129423779245290414,530,Home
493677476495337028,165,Electronics
1097966885678747330,821,Beauty
904874690753437506,699,Sports
335837670795972177,493,Beauty
702533507059213118,200,Books
35114610212419350,615,Beauty
40824886902963225,57,Electronics
192130492325309899,533,Sports
457887346471348042,785,Sports
989547214458324939,448,Clothing
534320591942586198,588,Books
652792085077204706,292,Sports
433229385574621052,288,Electronics
66113467944809491,781,Clothing
118207504313900297,845,Clothing
655925696279906973,826,Sports
397430300211496825,505,Beauty
189100856372242226,998,Beauty
340403532389584877,263,Beauty
158820617713348904,522,Home
895136568928472725,443,Beauty
293885812888977277,957,Home
532030886710701651,959,Books
918202574309474067,415,Sports
675938541445632675,312,Electronics
735313394519524909,963,Beauty
301492599291773679,804,Electronics
18477004385381019,222,Home
763290432970191348,899,Electronics
751983197180137374,916,Electronics
904053632646346069,763,Clothing
1125660183972349160,184,Home
557199239767025629,444,Electronics
816134696207970322,365,Clothing
91100533862715296,952,Books
376258515677608595,755,Beauty
370290163485434864,206,Beauty
761110364284056145,536,Clothing
711351983005149260,143,Electronics
574340031630293747,50,Electronics
32589069237040454,192,Beauty
874879750178073801,31,Electronics
49660252460415990,342,Books
747253972775359239,955,Books
1133749287387336292,951,Electronics
582072021137226414,173,Beauty
285601015219660919,336,Beauty
1066939609635934998,974,Sports
617726459220776717,198,Electronics
1023605158716935737,347,Home
235801706415287547,753,Sports
316827750954310052,957,Clothing
195370070379730117,303,Clothing
1055355475302619910,734,Beauty
520556713600938913,228,Electronics
489647536697109569,103,Sports
615982984317616718,726,Home
129068242873431560,633,Electronics
1129191063859972636,284,Home
687642293158899936,192,Home
424095753740405127,191,Books
1066420728883577196,557,Clothing
233689691866553929,358,Electronics
474645352806617029,555,Sports
354852845363079266,733,Books
369913065209952575,784,Home
218090304716366790,414,Clothing
797112347157600879,48,Sports
906404718171970184,707,Home
62590543769992390,673,Sports
657715501115218805,582,Sports
848401063852216186,42,Books
477686397655363518,836,Home
574514827831475183,885,Clothing
408387305222333921,643,Books
1059460998643192453,120,Sports
506225684936518502,817,Clothing
596842982405347813,198,Clothing
603507915018774719,399,Clothing
512293531487409410,425,Beauty
476101795735142477,360,Books
564271392076960931,899,Clothing
1090570285294155178,537,Home
115957712662050323,830,Home
884252215860465992,69,Books
126236783992801098,612,Beauty
412190061861196855,466,Books
758346688074066517,357,Beauty
750612640894150328,257,Home
905783442208209460,259,Electronics
181951347382140105,521,Sports
384358675402340434,787,Clothing
811040198866978376,354,Books
194533064569183759,201,Home
597103878887022180,663,Home
365471671005908907,75,Clothing
18730725156531983,541,Clothing
1095734444159554250,987,Beauty
958733800057992854,782,Beauty
498806545556576242,374,Sports
478595370703532765,483,Sports
1027477042483620189,1000,Clothing
1039938485926980172,900,Home
202422285097106144,110,Books
11718135266388936,894,Sports
232966228815030844,204,Electronics
830450976733437053,492,Sports
332942149259677887,783,Beauty
993235164851379809,910,Sports
537916612523164350,119,Clothing
444077544043780443,437,Home
597183748182687724,571,Books
204937529438437850,833,Sports
746359629003726562,414,Sports
916316004815989859,609,Home
266975109529303638,818,Clothing
1090738378278895303,938,Electronics
313789508754208159,687,Electronics
1023434182505346175,134,Books
856552134179962218,210,Books
12131983337679643,428,Clothing
209261723413384525,277,Books
963517390164830471,187,Sports
199882962470869302,213,Books
612571636348586857,451,Clothing
789465300911088507,381,Home
467561644916081511,773,Electronics
689166718590862676,322,Electronics
376217832713192184,158,Home
774216039593033609,779,Sports
623114872718020040,509,Beauty
1057205231892458633,307,Sports
952763500598922531,109,Clothing
30554610423188645,901,Home
726475405877472179,425,Books
1060288073957291158,621,Electronics
693542752912545259,887,Beauty
1142854291035385057,999,Books
138497490508995806,322,Clothing
65744348506170474,901,Sports
1137014945669566823,617,Sports
836276636620704566,117,Beauty
519372779159844208,914,Clothing
1117609148862796759,732,Sports
584016061955138869,236,Electronics
653092097701770626,754,Books
53234692894932557,651,Books
483598723879425195,77,Books
587402326756644935,518,Sports
786410965132723477,820,Sports
321185163757030218,288,Books
197136729980611747,557,Sports
377764123813895557,826,Books
31684048187818066,756,Sports
64020430666332029,974,Home
1110475496978339816,743,Sports
989194781576950446,47,Home
865666576495718083,408,Books
931863723002783499,824,Beauty
764658516990408631,201,Books
56664268086955695,619,Clothing
741690860894698785,511,Sports
6738886543509807,306,Home
398339519756850515,648,Sports
415489718788019865,44,Beauty
250323764700867657,613,Beauty
844652394333241119,23,Beauty
733394965865734797,791,Books
560458019998355866,236,Sports
116448605983011206,249,Books
902768700918573530,332,Home
66664474817960011,440,Electronics
287611405642438631,213,Beauty
450971893351506261,348,Beauty
37198808720219327,112,Clothing
325625564684349236,833,Clothing
553066080112408244,523,Beauty
226347889670606003,92,Books
744979187999998833,225,Sports
739405062948424387,293,Home
308420809716003741,152,Clothing
89095882509320161,538,Sports
438193787237965060,544,Beauty
657375210260373046,744,Beauty
134629540842395325,233,Books
341596935078489402,636,Sports
564871542841848807,917,Books
896200558239839207,296,Sports
907608991072683621,296,Home
214876936080005862,482,Beauty
237656684364919126,203,Clothing
35567794057373240,59,Books
771510821175301192,985,Beauty
220646449896059475,606,Beauty
564116409394905601,528,Books
479428286702240572,558,Clothing
101329576800121459,565,Electronics
509166923082166855,933,Home
488813496023701068,550,Sports
361749022520164049,92,Electronics
757449917808717939,153,Beauty
88671434156479216,308,Sports
665517121189884906,316,Home
909578950949848523,156,Sports
981305324242471598,416,Home
150956933597220336,559,Home
452411926939627067,177,Home
1137206463246720997,359,Clothing
462963850152494233,72,Beauty
701894612964716778,688,Beauty
1138868185216715911,676,Electronics
189454763128605544,642,Beauty
882437640037238488,345,Electronics
602620528199926676,400,Sports
994968264207095155,360,Home
355025147323165598,778,Beauty
660144286295079965,52,Beauty
1037446508397182468,172,Clothing
273008473311018064,551,Sports
165432769176946319,441,Sports
936377752014535636,386,Sports
1041322757985554324,311,Electronics
439851946885301232,544,Sports
171497799878074385,184,Clothing
883764662697782422,637,Books
594874992834925135,280,Books
656109024313985019,706,Books
687568642477751205,333,Home
606679687804152206,373,Electronics
1041890852674954492,351,Books
1007304326490128406,259,Clothing
612676704860560398,463,Books
839567745653044539,467,Clothing
466032691398412639,935,Electronics
1014291648876672970,113,Home
70792359631535581,490,Beauty
365341269528138854,783,Sports
564713155945800102,561,Books
943288169309815208,816,Clothing
1001160855755866467,635,Sports
895877511731376207,366,Electronics
711408342920163817,973,Beauty
812210442826956762,486,Clothing
999302332572501474,328,Beauty
1046372309942435371,904,Beauty
582650991796956037,793,Electronics
191063452005392268,920,Home
509190264414361652,106,Beauty
780796691070414650,686,Home
177634352389315584,276,Clothing
1055681123354172591,437,Books
994783815198512668,918,Clothing
741251347447472827,752,Beauty
601763469751015414,792,Electronics
79145326096814752,235,Beauty
43008113052065069,197,Home
1019517582637805818,931,Beauty
248069920342781190,491,Home
604562974558462810,561,Electronics
168522522948840409,382,Beauty
854221819661676778,721,Beauty
742672642125957632,227,Clothing
701175137578735467,753,Beauty
87282827084398810,866,Home
151115389272226892,765,Electronics
920247769136953379,588,Beauty
949157323474654425,482,Electronics
226107217169519562,906,Beauty
532430684124457997,908,Clothing
702666325367669222,884,Electronics
552321401113991418,186,Clothing
595284573889420080,487,Books
276456654127913383,49,Books
106181918082646947,44,Electronics
786511286440543359,422,Sports
871991335576198217,380,Home
892765612242860844,397,Clothing
144936130566998741,566,Sports
585155957927070872,978,Books
571954010714568630,952,Home
351347779786172246,638,Sports
1040752378121147403,502,Clothing
324992905894924964,485,Beauty
885444024384592378,921,Sports
514999452795688171,709,Sports
1059555768693882792,909,Books
158457570098112951,226,Electronics
144900400766279616,97,Sports
98626667301661438,202,Home
42692201852756177,403,Beauty
461250525665426763,787,Beauty
913727770253448126,896,Electronics
517920445059607250,200,Clothing
1115159568453031652,581,Clothing
834722832483718076,76,Sports
531578356917810814,339,Clothing
1092260090986281615,89,Home
204684622475968181,1,Sports
612785767946600821,470,Electronics
1118031167376048428,217,Home
900683845087399845,284,Clothing
697204510006847443,99,Books
814384386047806552,861,Books
709408770659039725,699,Clothing
567741138938822815,669,Beauty
382031525861692432,653,Home
164057732650253537,804,Home
369855585842627587,140,Home
659229053192887094,409,Electronics
177419540057660763,187,Clothing
411340883926034422,769,Home
192463573858034675,631,Books
1121365412593598432,602,Clothing
652731540180710108,586,Sports
188055845162273010,394,Electronics
741787076086379353,515,Sports
930177132656735976,1000,Home
56280053734773711,472,Beauty
456576281293934169,472,Books
292833335836890689,647,Books
693047128712896178,325,Books
196243006069632472,320,Books
466647981143471071,33,Electronics
1039866923739123382,649,Sports
455612647704919942,581,Home
1133176273091987249,785,Home
814484750376142285,231,Clothing
119927912362589411,422,Electronics
787683782145916487,443,Electronics
1025250130557579336,924,Home
586444320120144107,620,Electronics
1061053007399784734,788,Home
499945193211406485,226,Home
635765026000333666,608,Home
898742135838240697,115,Books
206140761689716889,897,Sports
704581178005361513,160,Clothing
1071448646653265102,779,Home
529113738893714585,527,Sports
571092591786354009,831,Home
733695865315837082,765,Sports
1042153594232160243,97,Beauty
365962188821855981,361,Books
534323330489130243,848,Sports
554665397785566995,922,Home
445561915860280930,865,Clothing
21905298417300585,805,Sports
1051889945866137856,715,Electronics
374538250638297675,37,Beauty
598597745618198904,717,Books
925847396601883285,208,Clothing
272554572708419042,205,Sports
593574206339979678,295,Sports
