order_item_id,order_id,product_key,promotion_key,quantity,unit_price,line_total,attributed_to_promo
24278,1355,762411714070839319,153,1,34.2,34.2,True
4488,4470,762411714070839319,650,3,213.81,641.43,True
4682,3144,762411714070839319,-1,3,112.19,336.57,False
12728,10103,762411714070839319,-1,2,196.88,393.76,False
9652,14413,762411714070839319,-1,3,268.03,804.09,False
22696,11016,512610361105018554,510,3,173.53,520.59,True
3920,2337,512610361105018554,-1,1,474.42,474.42,False
21072,2883,512610361105018554,-1,1,311.0,311.0,False
21006,8582,512610361105018554,-1,2,174.78,349.56,False
8931,8998,512610361105018554,-1,3,99.32,297.96,False
29898,9859,512610361105018554,-1,3,96.84,290.52,False
11633,12325,557975283058193433,1201,3,209.79,629.37,True
8503,8112,557975283058193433,-1,3,174.13,522.39,False
12506,1486,557975283058193433,-1,1,297.13,297.13,False
5529,12486,269066334754545457,287,1,250.28,250.28,True
4382,13276,269066334754545457,-1,2,383.35,766.7,False
16295,9068,269066334754545457,-1,3,397.51,1192.53,False
2593,5126,269066334754545457,-1,3,376.31,1128.93,False
34823,950,269066334754545457,-1,3,124.34,373.02,False
13012,7090,269066334754545457,-1,1,340.07,340.07,False
22078,8538,269066334754545457,-1,2,216.57,433.14,False
9784,5640,269066334754545457,-1,1,285.68,285.68,False
11535,12477,269066334754545457,-1,2,265.84,531.68,False
32477,7300,269066334754545457,-1,2,458.96,917.92,False
3561,1094,956589881130540076,596,2,79.37,158.74,True
9178,10622,956589881130540076,-1,1,220.23,220.23,False
22740,6823,956589881130540076,-1,3,70.91,212.73,False
1987,9728,956589881130540076,-1,2,32.11,64.22,False
10590,8239,956589881130540076,-1,3,37.24,111.72,False
34444,13238,956589881130540076,-1,2,209.37,418.74,False
22372,12238,956589881130540076,-1,1,109.16,109.16,False
6024,7545,956589881130540076,-1,2,233.61,467.22,False
31791,7908,198320239037364004,46,3,35.91,107.73,True
21831,5487,198320239037364004,-1,1,44.27,44.27,False
33634,5906,198320239037364004,-1,2,47.78,95.56,False
6555,11850,198320239037364004,-1,3,21.88,65.64,False
32151,13315,198320239037364004,-1,1,27.73,27.73,False
33589,11557,1098718886596327092,1325,1,46.62,46.62,True
9748,2996,1098718886596327092,-1,3,132.06,396.18,False
18713,382,1098718886596327092,-1,1,35.89,35.89,False
13501,12661,1098718886596327092,-1,2,70.7,141.4,False
24816,2282,1098718886596327092,-1,1,34.52,34.52,False
23578,7291,1098718886596327092,-1,2,66.72,133.44,False
1584,13966,1098718886596327092,-1,2,176.83,353.66,False
15997,9323,479145051080035326,2,3,162.72,488.16,True
28080,8810,479145051080035326,-1,3,141.13,423.39,False
29296,8863,479145051080035326,-1,3,113.81,341.43,False
25035,6341,479145051080035326,-1,3,137.51,412.53,False
33341,7159,479145051080035326,-1,3,158.53,475.59,False
28626,14824,479145051080035326,-1,1,71.17,71.17,False
452,9797,479145051080035326,-1,3,112.39,337.17,False
17556,6409,479145051080035326,-1,3,78.56,235.68,False
10899,10165,690520812566217119,1234,1,172.7,172.7,True
34112,7964,690520812566217119,1420,3,237.39,712.17,True
25362,4817,690520812566217119,-1,3,83.34,250.02,False
23747,10127,690520812566217119,-1,3,176.93,530.79,False
11067,2923,690520812566217119,-1,3,111.24,333.72,False
11539,14217,690520812566217119,-1,3,180.92,542.76,False
19360,5211,690520812566217119,-1,3,219.25,657.75,False
3858,4105,690520812566217119,-1,3,158.01,474.03,False
9494,13941,690520812566217119,-1,2,67.45,134.9,False
32964,2442,987642359196783933,-1,3,43.24,129.72,False
6342,2134,240550714578432222,1247,3,26.21,78.63,True
6541,11786,240550714578432222,-1,2,130.98,261.96,False
19623,6445,240550714578432222,-1,3,69.27,207.81,False
25552,13627,832278046774654014,141,1,9.16,9.16,True
10827,895,832278046774654014,312,3,20.99,62.97,True
30026,9841,832278046774654014,-1,1,17.82,17.82,False
5179,9265,832278046774654014,-1,3,45.95,137.85,False
9946,3738,832278046774654014,-1,3,16.67,50.01,False
5519,14204,465231253940350326,875,2,174.81,349.62,True
19747,8375,465231253940350326,-1,1,256.32,256.32,False
20387,4972,465231253940350326,-1,1,296.56,296.56,False
27073,5946,465231253940350326,-1,1,100.12,100.12,False
34530,7826,465231253940350326,-1,1,87.65,87.65,False
15407,12241,918362924067816106,-1,2,15.52,31.04,False
22831,1586,918362924067816106,-1,2,23.3,46.6,False
31776,4400,918362924067816106,-1,2,23.56,47.12,False
32320,7106,918362924067816106,-1,3,23.62,70.86,False
20646,8056,918362924067816106,-1,1,40.98,40.98,False
15234,7558,918362924067816106,-1,1,9.89,9.89,False
29288,5737,68393893889575024,1039,1,372.05,372.05,True
12497,4370,68393893889575024,-1,2,98.19,196.38,False
5367,9193,779105422600272568,18,1,324.53,324.53,True
6871,1447,779105422600272568,82,2,89.81,179.62,True
12655,8593,779105422600272568,-1,2,296.53,593.06,False
33030,8515,779105422600272568,-1,1,336.02,336.02,False
10614,12168,779105422600272568,-1,1,438.56,438.56,False
8185,2246,779105422600272568,-1,3,236.7,710.1,False
6906,800,779105422600272568,-1,1,473.0,473.0,False
2206,13166,779105422600272568,-1,3,106.66,319.98,False
15488,11094,822665179822988972,612,2,81.48,162.96,True
16578,5145,822665179822988972,968,2,98.61,197.22,True
12858,9383,822665179822988972,-1,1,56.97,56.97,False
26746,11129,822665179822988972,-1,2,17.05,34.1,False
6712,14707,822665179822988972,-1,1,92.42,92.42,False
2746,11079,822665179822988972,-1,1,66.74,66.74,False
3039,14037,695667004171883551,18,2,256.82,513.64,True
16141,1330,695667004171883551,225,3,66.56,199.68,True
33661,6587,695667004171883551,1098,1,251.14,251.14,True
2236,13900,695667004171883551,-1,1,140.06,140.06,False
8657,5268,695667004171883551,-1,3,178.97,536.91,False
1890,7839,695667004171883551,-1,1,254.96,254.96,False
28603,127,695667004171883551,-1,3,287.46,862.38,False
1402,12816,414908224761353333,831,3,104.97,314.91,True
2124,9598,414908224761353333,-1,3,66.73,200.19,False
15772,5281,414908224761353333,-1,1,109.94,109.94,False
28981,3838,414908224761353333,-1,2,48.67,97.34,False
330,8903,414908224761353333,-1,2,196.54,393.08,False
11570,2541,414908224761353333,-1,1,31.98,31.98,False
29745,9037,414908224761353333,-1,2,94.97,189.94,False
21274,10837,414908224761353333,-1,1,49.5,49.5,False
24219,11641,1137963656287879344,981,1,127.09,127.09,True
3682,4466,1137963656287879344,-1,3,138.13,414.39,False
12598,8040,841019326852954165,1040,3,34.75,104.25,True
3536,13517,841019326852954165,1111,2,43.03,86.06,True
3043,12896,841019326852954165,-1,1,35.26,35.26,False
17582,1633,695804801850972499,314,2,31.29,62.58,True
33579,6581,695804801850972499,1280,3,117.45,352.35,True
28486,6550,695804801850972499,-1,1,139.08,139.08,False
15372,10982,695804801850972499,-1,3,95.07,285.21,False
2196,8833,695804801850972499,-1,2,78.84,157.68,False
23834,541,695804801850972499,-1,3,35.88,107.64,False
34855,8938,695804801850972499,-1,1,140.59,140.59,False
19184,11937,682119591434801168,-1,3,203.97,611.91,False
7363,12973,682119591434801168,-1,3,175.44,526.32,False
32263,1056,682119591434801168,-1,2,480.34,960.68,False
13628,281,682119591434801168,-1,3,343.13,1029.39,False
1690,12114,682119591434801168,-1,3,140.24,420.72,False
14422,14484,989468669447230064,500,2,108.59,217.18,True
10749,5365,989468669447230064,1359,3,108.44,325.32,True
26903,7364,989468669447230064,-1,3,25.17,75.51,False
13499,6868,989468669447230064,-1,1,54.52,54.52,False
24750,14732,989468669447230064,-1,3,96.13,288.39,False
5087,1028,989468669447230064,-1,3,140.9,422.7,False
27221,13584,1030329251957780646,726,1,56.4,56.4,True
25204,4463,1030329251957780646,861,1,174.42,174.42,True
30012,971,1030329251957780646,1069,3,197.47,592.41,True
17647,2941,1030329251957780646,-1,2,64.69,129.38,False
27450,12375,1030329251957780646,-1,1,151.0,151.0,False
27086,8269,1030329251957780646,-1,2,215.47,430.94,False
2987,4649,1030329251957780646,-1,3,103.22,309.66,False
28408,1463,1030329251957780646,-1,2,95.99,191.98,False
31939,461,1030329251957780646,-1,3,207.26,621.78,False
19928,10876,1030329251957780646,-1,2,243.77,487.54,False
17352,4855,778941814281403363,68,1,59.66,59.66,True
1829,3225,778941814281403363,733,3,111.63,334.89,True
